datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,5.831,5.86,5.86,5.78,5941969,1418269216.0,1.39,2.0,0.115,0.97
2020-01-03,5.74,5.764,5.808,5.715,5144308,1216116144.0,1.59,-1.64,-0.096,0.84
2020-01-06,5.67,5.789,5.794,5.644,6572812,1547604784.0,2.6,0.43,0.025,1.07
2020-01-07,5.817,5.86,5.906,5.772,7980144,1914720064.0,2.31,1.23,0.071,1.3
2020-01-08,5.856,5.872,5.913,5.816,6931017,1665615936.0,1.66,0.2,0.012,1.13
2020-01-09,5.958,5.938,6.01,5.884,6386053,1555876944.0,2.15,1.12,0.066,1.04
2020-01-10,6.045,5.97,6.076,5.956,7911560,1947508160.0,2.02,0.54,0.032,1.29
2020-01-13,6.054,6.162,6.187,6.031,8008451,2007390848.0,2.61,3.22,0.192,1.31
2020-01-14,6.119,6.044,6.144,6.031,8989483,2233662960.0,1.83,-1.91,-0.118,1.47
2020-01-15,6.057,6.001,6.079,5.975,6577636,1619661136.0,1.72,-0.71,-0.043,1.07
2020-01-16,6.055,6.085,6.091,6.032,7104791,1762262496.0,0.98,1.4,0.084,1.16
2020-01-17,6.105,6.094,6.112,6.046,6344764,1578579216.0,1.08,0.15,0.009,1.04
2020-01-21,6.057,6.061,6.094,6.026,5447925,1351608176.0,1.12,-0.54,-0.033,0.89
2020-01-22,6.106,6.113,6.202,6.087,5980967,1503673024.0,1.9,0.86,0.052,0.98
2020-01-23,6.155,6.184,6.192,6.066,6112861,1535634336.0,2.06,1.16,0.071,1.0
2020-01-24,6.3,6.124,6.35,6.07,9337839,2363382288.0,4.53,-0.97,-0.06,1.53
2020-01-27,5.818,5.867,5.918,5.668,11763354,2819111232.0,4.08,-4.2,-0.257,1.92
2020-01-28,5.933,6.061,6.094,5.88,7774401,1910550800.0,3.65,3.31,0.194,1.27
2020-01-29,6.047,6.001,6.083,5.961,6486279,1595766624.0,2.01,-0.99,-0.06,1.06
2020-01-30,5.902,6.007,6.021,5.847,7262590,1765803088.0,2.9,0.1,0.006,1.19
2020-01-31,5.961,5.773,5.973,5.731,9260493,2205241664.0,4.03,-3.9,-0.234,1.51
2020-02-03,5.755,5.87,5.89,5.748,6398205,1533494624.0,2.46,1.68,0.097,1.04
2020-02-04,6.013,6.04,6.06,5.963,6788589,1672913664.0,1.65,2.9,0.17,1.11
